itr,err
2,  6.3643505221761335e-02
3,  6.0596344972085638e-02
4,  5.8025610691032334e-02
5,  5.5786942671705371e-02
6,  5.3796084637773987e-02
7,  5.1998899791136054e-02
8,  5.0358204683555605e-02
9,  4.8847177259329723e-02
10,  4.7445729187283479e-02
11,  4.6138361764205264e-02
12,  4.4912825821400951e-02
13,  4.3759245595721523e-02
14,  4.2669524321453309e-02
15,  4.1636928245334666e-02
16,  4.0655787723344959e-02
17,  3.9721277509960427e-02
18,  3.8829252033012580e-02
19,  3.7976119729460023e-02
20,  3.7158745693893630e-02
21,  3.6374375219336681e-02
22,  3.5620573003080580e-02
23,  3.4895174268218088e-02
24,  3.4196245067505106e-02
25,  3.3522049747285683e-02
26,  3.2871024055120490e-02
27,  3.2241752740085318e-02
28,  3.1632950762127840e-02
29,  3.1043447425100835e-02
30,  3.0472172896730151e-02
31,  2.9918146691431606e-02
32,  2.9380467778125644e-02
33,  2.8858306041818493e-02
34,  2.8350894879629825e-02
35,  2.7857524752724877e-02
36,  2.7377537547884752e-02
37,  2.6910321628172987e-02
38,  2.6455307472799530e-02
39,  2.6011963811425863e-02
40,  2.5579794166658929e-02
41,  2.5158333740007623e-02
42,  2.4747146598786466e-02
43,  2.4345823136561237e-02
44,  2.3953977787505958e-02
45,  2.3571246977682623e-02
46,  2.3197287296160326e-02
47,  2.2831773867847086e-02
48,  2.2474398908951376e-02
49,  2.2124870445606647e-02
50,  2.1782911176495778e-02
51,  2.1448257461240895e-02
52,  2.1120658417707078e-02
53,  2.0799875113020300e-02
54,  2.0485679834872518e-02
55,  2.0177855431447064e-02
56,  1.9876194709984394e-02
57,  1.9580499885543792e-02
58,  1.9290582072895190e-02
59,  1.9006260815671829e-02
60,  1.8727363647942176e-02
61,  1.8453725684222905e-02
62,  1.8185189234675721e-02
63,  1.7921603442820556e-02
64,  1.7662823943579452e-02
65,  1.7408712539852243e-02
66,  1.7159136896133652e-02
67,  1.6913970247929993e-02
68,  1.6673091125921906e-02
69,  1.6436383093975843e-02
70,  1.6203734500221334e-02
71,  1.5975038240504006e-02
72,  1.5750191533595456e-02
73,  1.5529095707595785e-02
74,  1.5311655997007824e-02
75,  1.5097781349996694e-02
76,  1.4887384245374139e-02
77,  1.4680380518871125e-02
78,  1.4476689198279817e-02
79,  1.4276232347039855e-02
80,  1.4078934915897625e-02
81,  1.3884724602252790e-02
82,  1.3693531716832581e-02
83,  1.3505289057343814e-02
84,  1.3319931788765395e-02
85,  1.3137397329957086e-02
86,  1.2957625246271786e-02
87,  1.2780557147870715e-02
88,  1.2606136593452102e-02
89,  1.2434308999116251e-02
90,  1.2265021552101095e-02
91,  1.2098223129132673e-02
92,  1.1933864219147083e-02
93,  1.1771896850151007e-02
94,  1.1612274519997580e-02
95,  1.1454952130866301e-02
96,  1.1299885927243755e-02
97,  1.1147033437214111e-02
98,  1.0996353416874927e-02
99,  1.0847805797706193e-02
100,  1.0701351636726138e-02
101,  1.0556953069278804e-02
102,  1.0414573264304604e-02
103,  1.0274176381953496e-02
104,  1.0135727533408844e-02
105,  9.9991927427956259e-03
106,  9.8645389110550603e-03
107,  9.7317337816738066e-03
108,  9.6007459081614531e-03
109,  9.4715446231771801e-03
