itr,err
2,  6.7578856655349032e-02
3,  6.5923589487788550e-02
4,  6.4517141431272157e-02
5,  6.3276208965508299e-02
6,  6.2159261892552053e-02
7,  6.1138602936418859e-02
8,  6.0195782935193579e-02
9,  5.9317481556237360e-02
10,  5.8493798453159794e-02
11,  5.7717112052257630e-02
12,  5.6981414603250069e-02
13,  5.6281868834109766e-02
14,  5.5614512497669001e-02
15,  5.4976051586484359e-02
16,  5.4363712660729653e-02
17,  5.3775134574199614e-02
18,  5.3208287556271841e-02
19,  5.2661411622140802e-02
20,  5.2132968960579423e-02
21,  5.1621606605150937e-02
22,  5.1126126799129354e-02
23,  5.0645463200510117e-02
24,  5.0178661579501446e-02
25,  4.9724864013536166e-02
26,  4.9283295835230979e-02
27,  4.8853254769073463e-02
28,  4.8434101824379863e-02
29,  4.8025253609548402e-02
30,  4.7626175805613881e-02
31,  4.7236377592328252e-02
32,  4.6855406862216453e-02
33,  4.6482846090622740e-02
34,  4.6118308755119089e-02
35,  4.5761436217540821e-02
36,  4.5411894997646723e-02
37,  4.5069374379928848e-02
38,  4.4733584305142515e-02
39,  4.4404253506230618e-02
40,  4.4081127854900974e-02
41,  4.3763968890477810e-02
42,  4.3452552507066672e-02
43,  4.3146667778701027e-02
44,  4.2846115905155961e-02
45,  4.2550709263626141e-02
46,  4.2260270553560256e-02
47,  4.1974632023713300e-02
48,  4.1693634771959712e-02
49,  4.1417128109670139e-02
50,  4.1144968983527624e-02
51,  4.0877021448563644e-02
52,  4.0613156186980061e-02
53,  4.0353250067987796e-02
54,  4.0097185744472144e-02
55,  3.9844851282787183e-02
56,  3.9596139822416748e-02
57,  3.9350949262609888e-02
58,  3.9109181973424029e-02
59,  3.8870744528893150e-02
60,  3.8635547460287530e-02
61,  3.8403505027644960e-02
62,  3.8174535007950865e-02
63,  3.7948558498505681e-02
64,  3.7725499734172538e-02
65,  3.7505285917326124e-02
66,  3.7287847059441624e-02
67,  3.7073115833362223e-02
68,  3.6861027435384663e-02
69,  3.6651519456371191e-02
70,  3.6444531761180600e-02
71,  3.6240006375771162e-02
72,  3.6037887381385927e-02
73,  3.5838120815287533e-02
74,  3.5640654577552430e-02
75,  3.5445438343479470e-02
76,  3.5252423481205254e-02
77,  3.5061562974153491e-02
78,  3.4872811347975430e-02
79,  3.4686124601669581e-02
80,  3.4501460142590763e-02
81,  3.4318776725084196e-02
82,  3.4138034392501543e-02
83,  3.3959194422373426e-02
84,  3.3782219274531004e-02
85,  3.3607072541985542e-02
86,  3.3433718904389918e-02
87,  3.3262124083916884e-02
88,  3.3092254803403137e-02
89,  3.2924078746620337e-02
90,  3.2757564520540211e-02
91,  3.2592681619474914e-02
92,  3.2429400390979538e-02
93,  3.2267692003412195e-02
94,  3.2107528415054459e-02
95,  3.1948882344702535e-02
96,  3.1791727243642966e-02
97,  3.1636037268935838e-02
98,  3.1481787257931285e-02
99,  3.1328952703950176e-02
100,  3.1177509733065920e-02
101,  3.1027435081925979e-02
102,  3.0878706076558477e-02
103,  3.0731300612108770e-02
104,  3.0585197133460067e-02
105,  3.0440374616688436e-02
106,  3.0296812551310490e-02
107,  3.0154490923283081e-02
108,  3.0013390198716003e-02
109,  2.9873491308260631e-02
110,  2.9734775632143610e-02
111,  2.9597224985810466e-02
112,  2.9460821606150048e-02
113,  2.9325548138273250e-02
114,  2.9191387622815725e-02
115,  2.9058323483742723e-02
116,  2.8926339516630394e-02
117,  2.8795419877401255e-02
118,  2.8665549071493386e-02
119,  2.8536711943442063e-02
120,  2.8408893666855724e-02
121,  2.8282079734768161e-02
122,  2.8156255950349384e-02
123,  2.8031408417959595e-02
124,  2.7907523534530767e-02
125,  2.7784587981261120e-02
126,  2.7662588715609327e-02
127,  2.7541512963575081e-02
128,  2.7421348212253002e-02
129,  2.7302082202649389e-02
130,  2.7183702922749770e-02
131,  2.7066198600827415e-02
132,  2.6949557698980938e-02
133,  2.6833768906894071e-02
134,  2.6718821135806231e-02
135,  2.6604703512686109e-02
136,  2.6491405374600478e-02
137,  2.6378916263269117e-02
138,  2.6267225919799200e-02
139,  2.6156324279592278e-02
140,  2.6046201467415830e-02
141,  2.5936847792634391e-02
142,  2.5828253744592529e-02
143,  2.5720409988145086e-02
144,  2.5613307359328069e-02
145,  2.5506936861165501e-02
146,  2.5401289659606478e-02
147,  2.5296357079587346e-02
148,  2.5192130601215997e-02
149,  2.5088601856070581e-02
150,  2.4985762623612483e-02
151,  2.4883604827704617e-02
152,  2.4782120533235970e-02
153,  2.4681301942844902e-02
154,  2.4581141393739164e-02
155,  2.4481631354609606e-02
156,  2.4382764422632972e-02
157,  2.4284533320561727e-02
158,  2.4186930893896640e-02
159,  2.4089950108141241e-02
160,  2.3993584046132981e-02
161,  2.3897825905449855e-02
162,  2.3802668995889467e-02
163,  2.3708106737018623e-02
164,  2.3614132655789901e-02
165,  2.3520740384224120e-02
166,  2.3427923657155819e-02
167,  2.3335676310039719e-02
168,  2.3243992276816564e-02
169,  2.3152865587835903e-02
170,  2.3062290367834182e-02
171,  2.2972260833966002e-02
172,  2.2882771293888132e-02
173,  2.2793816143891914e-02
174,  2.2705389867085868e-02
175,  2.2617487031624219e-02
176,  2.2530102288980784e-02
177,  2.2443230372267826e-02
178,  2.2356866094596736e-02
179,  2.2271004347480118e-02
180,  2.2185640099274141e-02
181,  2.2100768393660208e-02
182,  2.2016384348162957e-02
183,  2.1932483152706211e-02
184,  2.1849060068203231e-02
185,  2.1766110425182082e-02
186,  2.1683629622443988e-02
187,  2.1601613125753785e-02
188,  2.1520056466562389e-02
189,  2.1438955240758985e-02
190,  2.1358305107453790e-02
191,  2.1278101787787954e-02
192,  2.1198341063773111e-02
193,  2.1119018777157075e-02
194,  2.1040130828315812e-02
195,  2.0961673175171221e-02
196,  2.0883641832133950e-02
197,  2.0806032869069960e-02
198,  2.0728842410290861e-02
199,  2.0652066633566831e-02
200,  2.0575701769162368e-02
201,  2.0499744098892710e-02
202,  2.0424189955201844e-02
203,  2.0349035720260891e-02
204,  2.0274277825086475e-02
205,  2.0199912748678103e-02
206,  2.0125937017174581e-02
207,  2.0052347203028974e-02
208,  1.9979139924200841e-02
209,  1.9906311843366720e-02
210,  1.9833859667146334e-02
211,  1.9761780145346988e-02
212,  1.9690070070221909e-02
213,  1.9618726275746123e-02
214,  1.9547745636906682e-02
215,  1.9477125069007683e-02
216,  1.9406861526989935e-02
217,  1.9336952004765071e-02
218,  1.9267393534562798e-02
219,  1.9198183186292055e-02
220,  1.9129318066915070e-02
221,  1.9060795319834060e-02
222,  1.8992612124290691e-02
223,  1.8924765694777298e-02
224,  1.8857253280460354e-02
225,  1.8790072164615028e-02
226,  1.8723219664071675e-02
227,  1.8656693128672460e-02
228,  1.8590489940739464e-02
229,  1.8524607514553097e-02
230,  1.8459043295840388e-02
231,  1.8393794761273966e-02
232,  1.8328859417979883e-02
233,  1.8264234803055883e-02
234,  1.8199918483098466e-02
235,  1.8135908053739186e-02
236,  1.8072201139189521e-02
237,  1.8008795391795240e-02
238,  1.7945688491598354e-02
239,  1.7882878145907975e-02
240,  1.7820362088878643e-02
241,  1.7758138081097649e-02
242,  1.7696203909178709e-02
243,  1.7634557385364336e-02
244,  1.7573196347135254e-02
245,  1.7512118656826746e-02
246,  1.7451322201252392e-02
247,  1.7390804891334936e-02
248,  1.7330564661743313e-02
249,  1.7270599470536743e-02
250,  1.7210907298815418e-02
251,  1.7151486150376930e-02
252,  1.7092334051379717e-02
253,  1.7033449050011779e-02
254,  1.6974829216166006e-02
255,  1.6916472641120613e-02
256,  1.6858377437226228e-02
257,  1.6800541737597451e-02
258,  1.6742963695810846e-02
259,  1.6685641485607423e-02
260,  1.6628573300601145e-02
261,  1.6571757353991818e-02
262,  1.6515191878283677e-02
263,  1.6458875125008123e-02
264,  1.6402805364452204e-02
265,  1.6346980885390879e-02
266,  1.6291399994824509e-02
267,  1.6236061017720575e-02
268,  1.6180962296759926e-02
269,  1.6126102192087519e-02
270,  1.6071479081066861e-02
271,  1.6017091358039661e-02
272,  1.5962937434088061e-02
273,  1.5909015736802534e-02
274,  1.5855324710052351e-02
275,  1.5801862813760625e-02
276,  1.5748628523682827e-02
277,  1.5695620331189371e-02
278,  1.5642836743051298e-02
279,  1.5590276281229803e-02
280,  1.5537937482669203e-02
281,  1.5485818899093473e-02
282,  1.5433919096805937e-02
283,  1.5382236656492019e-02
284,  1.5330770173025999e-02
285,  1.5279518255280055e-02
286,  1.5228479525936763e-02
287,  1.5177652621304983e-02
288,  1.5127036191137996e-02
289,  1.5076628898455340e-02
