itr,err
2,  6.7371064119533516e-02
3,  6.5470042520348035e-02
4,  6.3836941679068129e-02
5,  6.2393195383991157e-02
6,  6.1092041524916825e-02
7,  5.9903115955612179e-02
8,  5.8805420582933567e-02
9,  5.7783732600899890e-02
10,  5.6826605274735424e-02
11,  5.5925177140086449e-02
12,  5.5072423570337876e-02
13,  5.4262665379661755e-02
14,  5.3491234307675287e-02
15,  5.2754238266071299e-02
16,  5.2048392264709399e-02
17,  5.1370893883796238e-02
18,  5.0719329747415144e-02
19,  5.0091604064025366e-02
20,  4.9485883189956906e-02
21,  4.8900552034871925e-02
22,  4.8334179358741458e-02
23,  4.7785489840756389e-02
24,  4.7253341372765982e-02
25,  4.6736706430939315e-02
26,  4.6234656665098947e-02
27,  4.5746350051804933e-02
28,  4.5271020108683356e-02
29,  4.4807966779865767e-02
30,  4.4356548686747016e-02
31,  4.3916176502253754e-02
32,  4.3486307255836951e-02
33,  4.3066439414307468e-02
34,  4.2656108613187131e-02
35,  4.2254883936487887e-02
36,  4.1862364661236336e-02
37,  4.1478177397736606e-02
38,  4.1101973568355384e-02
39,  4.0733427177135302e-02
40,  4.0372232830283523e-02
41,  4.0018103973907829e-02
42,  3.9670771320573936e-02
43,  3.9329981440548376e-02
44,  3.8995495497151318e-02
45,  3.8667088108619123e-02
46,  3.8344546321353069e-02
47,  3.8027668681528397e-02
48,  3.7716264393794462e-02
49,  3.7410152557293588e-02
50,  3.7109161470495415e-02
51,  3.6813127997425525e-02
52,  3.6521896988794759e-02
53,  3.6235320752332469e-02
54,  3.5953258567309361e-02
55,  3.5675576238831608e-02
56,  3.5402145687996704e-02
57,  3.5132844574451337e-02
58,  3.4867555948271671e-02
59,  3.4606167928437674e-02
60,  3.4348573405453255e-02
61,  3.4094669765938904e-02
62,  3.3844358637241237e-02
63,  3.3597545650313324e-02
64,  3.3354140219288009e-02
65,  3.3114055336336073e-02
66,  3.2877207380527095e-02
67,  3.2643515939547521e-02
68,  3.2412903643228963e-02
69,  3.2185296007949123e-02
70,  3.1960621291046432e-02
71,  3.1738810354472735e-02
72,  3.1519796536978881e-02
73,  3.1303515534188926e-02
74,  3.1089905285975619e-02
75,  3.0878905870604795e-02
76,  3.0670459405155930e-02
77,  3.0464509951772221e-02
78,  3.0261003429330229e-02
79,  3.0059887530152176e-02
80,  2.9861111641414518e-02
81,  2.9664626770934253e-02
82,  2.9470385477042321e-02
83,  2.9278341802272661e-02
84,  2.9088451210616671e-02
85,  2.8900670528116828e-02
86,  2.8714957886583643e-02
87,  2.8531272670240037e-02
88,  2.8349575465112666e-02
89,  2.8169828010998280e-02
90,  2.7991993155850815e-02
91,  2.7816034812442256e-02
92,  2.7641917917162247e-02
93,  2.7469608390829896e-02
94,  2.7299073101400569e-02
95,  2.7130279828458934e-02
96,  2.6963197229394793e-02
97,  2.6797794807166955e-02
98,  2.6634042879565875e-02
99,  2.6471912549893093e-02
100,  2.6311375678975825e-02
101,  2.6152404858448719e-02
102,  2.5994973385229530e-02
103,  2.5839055237127935e-02
104,  2.5684625049525591e-02
105,  2.5531658093071116e-02
106,  2.5380130252337842e-02
107,  2.5230018005392776e-02
108,  2.5081298404230883e-02
109,  2.4933949056032016e-02
110,  2.4787948105194264e-02
111,  2.4643274216110730e-02
112,  2.4499906556647737e-02
113,  2.4357824782292051e-02
114,  2.4217009020935130e-02
115,  2.4077439858260295e-02
116,  2.3939098323707421e-02
117,  2.3801965876984781e-02
118,  2.3666024395102764e-02
119,  2.3531256159905426e-02
120,  2.3397643846076881e-02
121,  2.3265170509597952e-02
122,  2.3133819576635677e-02
123,  2.3003574832843512e-02
124,  2.2874420413055069e-02
125,  2.2746340791352217e-02
126,  2.2619320771492247e-02
127,  2.2493345477677035e-02
128,  2.2368400345649995e-02
129,  2.2244471114106070e-02
130,  2.2121543816401235e-02
131,  2.1999604772548729e-02
132,  2.1878640581489840e-02
133,  2.1758638113627493e-02
134,  2.1639584503611930e-02
135,  2.1521467143367130e-02
136,  2.1404273675349375e-02
137,  2.1287991986027099e-02
138,  2.1172610199574289e-02
139,  2.1058116671767286e-02
140,  2.0944499984078969e-02
141,  2.0831748937959742e-02
142,  2.0719852549300886e-02
143,  2.0608800043070963e-02
144,  2.0498580848119459e-02
145,  2.0389184592141570e-02
146,  2.0280601096796722e-02
147,  2.0172820372977036e-02
148,  2.0065832616217558e-02
149,  1.9959628202245255e-02
150,  1.9854197682660744e-02
151,  1.9749531780747211e-02
152,  1.9645621387403330e-02
153,  1.9542457557194283e-02
154,  1.9440031504517664e-02
155,  1.9338334599879940e-02
156,  1.9237358366279017e-02
157,  1.9137094475690290e-02
158,  1.9037534745651105e-02
159,  1.8938671135941956e-02
160,  1.8840495745359415e-02
161,  1.8743000808579522e-02
162,  1.8646178693106058e-02
163,  1.8550021896304014e-02
164,  1.8454523042512740e-02
165,  1.8359674880237365e-02
166,  1.8265470279415878e-02
167,  1.8171902228759612e-02
168,  1.8078963833163628e-02
169,  1.7986648311186394e-02
170,  1.7894948992595052e-02
171,  1.7803859315975598e-02
172,  1.7713372826404575e-02
173,  1.7623483173181260e-02
174,  1.7534184107618339e-02
175,  1.7445469480889229e-02
176,  1.7357333241929507e-02
177,  1.7269769435392879e-02
178,  1.7182772199656998e-02
179,  1.7096335764881333e-02
180,  1.7010454451111528e-02
181,  1.6925122666432257e-02
182,  1.6840334905165604e-02
183,  1.6756085746113203e-02
184,  1.6672369850842091e-02
185,  1.6589181962012020e-02
186,  1.6506516901743835e-02
187,  1.6424369570026819e-02
188,  1.6342734943164829e-02
189,  1.6261608072259435e-02
190,  1.6180984081729344e-02
191,  1.6100858167865304e-02
192,  1.6021225597418788e-02
193,  1.5942081706224173e-02
194,  1.5863421897853568e-02
195,  1.5785241642302592e-02
196,  1.5707536474707250e-02
197,  1.5630301994090406e-02
198,  1.5553533862137068e-02
199,  1.5477227801998367e-02
200,  1.5401379597122374e-02
201,  1.5325985090112368e-02
202,  1.5251040181610309e-02
203,  1.5176540829206541e-02
204,  1.5102483046373306e-02
205,  1.5028862901422786e-02
