itr,err
2,  6.7094041473031066e-02
3,  6.5324686948284957e-02
4,  6.3843336467213727e-02
5,  6.2532700780888226e-02
6,  6.1357817850959694e-02
7,  6.0284778576144525e-02
8,  5.9295344350765569e-02
9,  5.8374523420854224e-02
10,  5.7511982889100734e-02
11,  5.6699433600133700e-02
12,  5.5930500300765733e-02
13,  5.5199987167170901e-02
14,  5.4503671689460347e-02
15,  5.3838032259736678e-02
16,  5.3200111724154987e-02
17,  5.2587391032558543e-02
18,  5.1997706983990921e-02
19,  5.1429184099790602e-02
20,  5.0880184569771628e-02
21,  5.0349267836677702e-02
22,  4.9835159086255847e-02
23,  4.9336723698389651e-02
24,  4.8852946653823115e-02
25,  4.8382915621556027e-02
26,  4.7925807024664195e-02
27,  4.7480874433949660e-02
28,  4.7047438847244931e-02
29,  4.6624880485364631e-02
30,  4.6212631828833353e-02
31,  4.5810171671869529e-02
32,  4.5417020018360899e-02
33,  4.5032733678597885e-02
34,  4.4656902452022855e-02
35,  4.4289145805026346e-02
36,  4.3929109964242714e-02
37,  4.3576465370141995e-02
38,  4.3230904424848123e-02
39,  4.2892139519198812e-02
40,  4.2559901248152725e-02
41,  4.2233936891172878e-02
42,  4.1914008924068831e-02
43,  4.1599893944230741e-02
44,  4.1291381208664532e-02
45,  4.0988272282167858e-02
46,  4.0690378858878842e-02
47,  4.0397524385625320e-02
48,  4.0109538607378620e-02
49,  3.9826265952904706e-02
50,  3.9547547498674673e-02
51,  3.9273253879185177e-02
52,  3.9003220503034404e-02
53,  3.8737370456365883e-02
54,  3.8512121894167951e-02
55,  3.9644709506024008e-02
56,  5.2129686935639415e-02
57,  9.0215755602368553e-02
58,  1.7299697694735888e-01
59,  3.4017696257428764e-01
60,  6.7301419021999476e-01
61,  1.3331420831498741e+00
62,  2.6417394389908733e+00
63,  5.2362140721210766e+00
64,  1.0379109020858504e+01
65,  2.0576178579493718e+01
66,  4.0795013342792615e+01
67,  8.0889296106770587e+01
68,  1.6040164564144419e+02
69,  3.1810052174761137e+02
70,  6.3087709389226654e+02
71,  1.2512876479609149e+03
72,  2.4820205287383956e+03
73,  4.9237095401796823e+03
74,  9.7680940512474081e+03
75,  1.9380561807483857e+04
76,  3.8454939218290419e+04
77,  7.6307143538804041e+04
78,  1.5143006907203767e+05
79,  3.0053342416218983e+05
80,  5.9649458877539355e+05
81,  1.1840034905061440e+06
82,  2.3503698826528024e+06
83,  4.6660834696691055e+06
84,  9.2639085980578400e+06
85,  1.8393320890076563e+07
86,  3.6522148185748369e+07
87,  7.2524047095085964e+07
88,  1.4402431296123889e+08
89,  2.8602893310066360e+08
90,  5.6807570884871674e+08
91,  1.1283241495957334e+09
92,  2.2412337935158720e+09
93,  4.4521142415956650e+09
94,  8.8445252281715508e+09
95,  1.7571643909504841e+10
96,  3.4912248704347466e+10
97,  6.9369288679367722e+10
98,  1.3784653413210559e+11
99,  2.7394183656388306e+11
