itr,err
2,  6.0493246522124920e-02
3,  5.6530647990791910e-02
4,  5.3190213429451648e-02
5,  5.0298193154442901e-02
6,  4.7746237556863205e-02
7,  4.5462303004336839e-02
8,  4.3395938160833453e-02
9,  4.1510312232030742e-02
10,  3.9777620756537346e-02
11,  3.8176291505852465e-02
12,  3.6689204916935628e-02
13,  3.5302515225295643e-02
14,  3.4004842897358514e-02
15,  3.2786705287697414e-02
16,  3.1640105168366912e-02
17,  3.0558226871740136e-02
18,  2.9535207621791057e-02
19,  2.8565962554307690e-02
20,  2.7646048820941405e-02
21,  2.6771558638929983e-02
22,  2.5939034111629788e-02
23,  2.5145398652976006e-02
24,  2.4387901235974986e-02
25,  2.3664070660164252e-02
26,  2.2971677729071528e-02
27,  2.2308703733001593e-02
28,  2.1673314002720222e-02
29,  2.1063835574759538e-02
30,  2.0478738215886704e-02
31,  1.9916618211362529e-02
32,  1.9376184442091625e-02
33,  1.8856246369004855e-02
34,  1.8355703615783873e-02
35,  1.7873536898283946e-02
36,  1.7408800094377772e-02
37,  1.6960613284147722e-02
38,  1.6528156619436570e-02
39,  1.6109357979348912e-02
40,  1.5703584193808511e-02
41,  1.5309822434267106e-02
42,  1.4927254792619993e-02
43,  1.4555159861162893e-02
44,  1.4192907629203005e-02
45,  1.3839948707767813e-02
46,  1.3495803946024093e-02
47,  1.3160054806590498e-02
48,  1.2832334671733094e-02
49,  1.2512321132322759e-02
50,  1.2199729240016489e-02
51,  1.1894305663055361e-02
52,  1.1595823665938157e-02
53,  1.1304078825548357e-02
54,  1.1018885396176658e-02
55,  1.0740073240116695e-02
56,  1.0467485247062425e-02
57,  1.0200975173117098e-02
58,  9.9404058380282035e-03
59,  9.6856476268242300e-03
60,  9.4365772490759628e-03
61,  9.1930767154158773e-03
62,  8.9550324966748921e-03
63,  8.7223348360457986e-03
64,  8.4948771890928400e-03
65,  8.2725557702497069e-03
66,  8.0552691877422075e-03
67,  7.8429181516966023e-03
68,  7.6354052426075691e-03
69,  7.4326347293951975e-03
70,  7.2345124280250722e-03
71,  7.0409455931445559e-03
72,  6.8518428364383174e-03
73,  6.6671140664624727e-03
74,  6.4866704456046269e-03
75,  6.3104243605673887e-03
76,  6.1382894033995324e-03
77,  5.9701803606282524e-03
78,  5.8060132084863702e-03
79,  5.6457051125993413e-03
80,  5.4891744308037723e-03
81,  5.3363407180273001e-03
82,  5.1871247323729344e-03
83,  5.0414484417286741e-03
84,  4.8992350303696747e-03
85,  4.7604089051414295e-03
86,  4.6248957009123147e-03
87,  4.4926222850653367e-03
88,  4.3635167608652792e-03
89,  4.2375084695920372e-03
90,  4.1145279913740260e-03
91,  3.9945071446905343e-03
92,  3.8773789845397946e-03
93,  3.7630777992910028e-03
94,  3.6515391062551016e-03
95,  3.5426996460223136e-03
96,  3.4364973756232215e-03
97,  3.3328714605770364e-03
98,  3.2317622658952555e-03
99,  3.1331113461111055e-03
100,  3.0368614344068634e-03
101,  2.9429564309106982e-03
102,  2.8513413902340481e-03
103,  2.7619625083193005e-03
104,  2.6747671086646417e-03
105,  2.5897036279914480e-03
106,  2.5067216014160614e-03
107,  2.4257716471853823e-03
108,  2.3468054510322515e-03
109,  2.2697757502038300e-03
110,  2.1946363172126787e-03
111,  2.1213419433576421e-03
112,  2.0498484220580794e-03
113,  1.9801125320423629e-03
114,  1.9120920204286074e-03
115,  1.8457455857327631e-03
116,  1.7810328608367182e-03
117,  1.7179143959463626e-03
118,  1.6563516415672164e-03
119,  1.5963069315232368e-03
120,  1.5377434660416077e-03
121,  1.4806252949250732e-03
122,  1.4249173008309187e-03
123,  1.3705851826741606e-03
124,  1.3175954391707204e-03
125,  1.2659153525348835e-03
126,  1.2155129723438801e-03
127,  1.1663570995808779e-03
128,  1.1184172708666928e-03
129,  1.0716637428891183e-03
130,  1.0260674770377783e-03
131,  9.8160012425131758e-04
132,  9.3823401008296509e-04
133,  8.9594211998937883e-04
134,  8.5469808484706729e-04
135,  8.1447616669995903e-04
136,  7.7525124474079612e-04
137,  7.3699880152868283e-04
138,  6.9969490944427960e-04
139,  6.6331621738374908e-04
140,  6.2783993769210435e-04
141,  5.9324383333602781e-04
142,  5.6111914213968512e-04
143,  5.3096291688473193e-04
144,  5.0155756814277102e-04
145,  4.7453194999090418e-04
146,  4.4911878652091326e-04
147,  4.2434045806855400e-04
148,  4.0210310673021864e-04
149,  3.8090356444513650e-04
150,  3.6038752316980331e-04
151,  3.4246683775317850e-04
152,  3.2499657700144438e-04
153,  3.0889245307934868e-04
154,  2.9434303766958530e-04
155,  2.8016033861093297e-04
156,  2.6812629702772234e-04
157,  2.5653660274228059e-04
