itr,err
236,  4.5423888567307884e-03
237,  4.4994822352829398e-03
238,  4.4569353061595851e-03
239,  4.4147447881803239e-03
240,  4.3729074356732489e-03
241,  4.3314200379736519e-03
242,  4.2902794189324757e-03
243,  4.2494824364337847e-03
244,  4.2090259819215665e-03
245,  4.1689069799353048e-03
246,  4.1291223876540875e-03
247,  4.0896691944493592e-03
248,  4.0505444214456792e-03
249,  4.0117451210897074e-03
250,  3.9732683767268063e-03
251,  3.9351113021855169e-03
252,  3.8972710413693445e-03
253,  3.8597447678559572e-03
254,  3.8225296845033675e-03
255,  3.7856230230632775e-03
256,  3.7490220438009757e-03
257,  3.7127240351221588e-03
258,  3.6767263132059958e-03
259,  3.6410262216446622e-03
260,  3.6056211310891376e-03
261,  3.5705084389009052e-03
262,  3.5356855688097452e-03
263,  3.5011499705772282e-03
264,  3.4668991196659307e-03
265,  3.4329305169141619e-03
266,  3.3992416882161888e-03
267,  3.3658301842076840e-03
268,  3.3326935799564313e-03
269,  3.2998294746581260e-03
270,  3.2672354913370616e-03
271,  3.2349092765518906e-03
272,  3.2028485001058698e-03
273,  3.1710508547620792e-03
274,  3.1395140559629716e-03
275,  3.1082358415545409e-03
276,  3.0772139715148214e-03
277,  3.0464462276867436e-03
278,  3.0159304135151149e-03
279,  2.9856643537878075e-03
280,  2.9556458943809085e-03
281,  2.9258729020079158e-03
282,  2.8963432639727482e-03
283,  2.8670548879265946e-03
284,  2.8380057016284834e-03
285,  2.8091936527095129e-03
286,  2.7806167084406400e-03
287,  2.7522728555040340e-03
288,  2.7241600997678283e-03
289,  2.6962764660642736e-03
290,  2.6686199979712318e-03
291,  2.6411887575968291e-03
292,  2.6139808253674256e-03
293,  2.5869942998186088e-03
294,  2.5602272973893375e-03
295,  2.5336779522190248e-03
296,  2.5073444159476217e-03
297,  2.4812248575186019e-03
298,  2.4553174629847701e-03
299,  2.4296204353168893e-03
300,  2.4041319942150357e-03
301,  2.3788503759226234e-03
302,  2.3537738330431501e-03
303,  2.3289006343594600e-03
304,  2.3042290646555792e-03
305,  2.2797574245410680e-03
306,  2.2554840302778149e-03
307,  2.2314072136092652e-03
308,  2.2075253215919732e-03
309,  2.1838367164295899e-03
310,  2.1603397753089822e-03
311,  2.1370328902387335e-03
312,  2.1139144678897891e-03
313,  2.0909829294383027e-03
314,  2.0682367104105683e-03
315,  2.0456742605301252e-03
316,  2.0232940435668248e-03
317,  2.0010945371880073e-03
318,  1.9790742328116093e-03
319,  1.9572316354612910e-03
320,  1.9355652636233809e-03
321,  1.9140736491058555e-03
322,  1.8927553368990350e-03
323,  1.8716088850381787e-03
324,  1.8506328644679038e-03
325,  1.8298258589082717e-03
326,  1.8091864647227518e-03
327,  1.7887132907877337e-03
328,  1.7684049583638500e-03
329,  1.7482601009688988e-03
330,  1.7282773642523864e-03
331,  1.7084554058716835e-03
332,  1.6887928953697455e-03
333,  1.6692885140544150e-03
334,  1.6499409548791592e-03
335,  1.6307489223254324e-03
336,  1.6117111322864030e-03
337,  1.5928263119521860e-03
338,  1.5740931996965030e-03
339,  1.5555105449647126e-03
340,  1.5370771081632910e-03
341,  1.5187916605505698e-03
342,  1.5006529841289299e-03
343,  1.4826598715382510e-03
