itr,res
2,  4.5501490190867763e-03
3,  3.8173602850637791e-03
4,  3.3342837874445201e-03
5,  2.9753613592115587e-03
6,  2.6904745306293655e-03
7,  2.4546769020960357e-03
8,  2.2527423024993275e-03
9,  2.0965770249922119e-03
10,  1.9563501431698340e-03
11,  1.8310606482891119e-03
12,  1.7244505325343959e-03
13,  1.6252700241616604e-03
14,  1.5374803289281069e-03
15,  1.4582913959172140e-03
16,  1.3820982117770592e-03
17,  1.3178938801344129e-03
18,  1.2546286620397345e-03
19,  1.1963463820692086e-03
20,  1.1443633759579911e-03
21,  1.0934428536853245e-03
22,  1.0458536341757128e-03
23,  1.0034488381153537e-03
24,  9.6200709415281030e-04
25,  9.2160971051753748e-04
26,  8.8631324502653499e-04
27,  8.5220559849059549e-04
28,  8.1895131426554918e-04
29,  7.8720105908048309e-04
30,  7.5897450284025580e-04
31,  7.3144351445041556e-04
32,  7.0462234578010899e-04
33,  6.7889313019371938e-04
34,  6.5582784908837523e-04
35,  6.3332910160199328e-04
36,  6.1140125978924906e-04
37,  5.9004735307556402e-04
38,  5.7090990768142197e-04
39,  5.5236211163591366e-04
40,  5.3427251963214322e-04
41,  5.1664149242268149e-04
42,  5.0027973380234502e-04
43,  4.8487915800090399e-04
44,  4.6985051067986749e-04
45,  4.5521079548367638e-04
46,  4.4132780102299141e-04
47,  4.2861758071478855e-04
48,  4.1620382627582519e-04
49,  4.0408569995178050e-04
50,  3.9226216240069835e-04
51,  3.8154239400728021e-04
52,  3.7112491282608134e-04
53,  3.6095181963832827e-04
54,  3.5102210763811412e-04
55,  3.4188862880512878e-04
56,  3.3311798477726068e-04
57,  3.2455158989140186e-04
58,  3.1626878009836641e-04
59,  3.0866508603948431e-04
60,  3.0133225381081055e-04
61,  2.9416172641342223e-04
62,  2.8719128803854132e-04
63,  2.8082011228722231e-04
64,  2.7458672124278739e-04
65,  2.6849000360634073e-04
66,  2.6276360795855574e-04
67,  2.5732557786399519e-04
68,  2.5200419104857627e-04
69,  2.4691408832996876e-04
70,  2.4216777186844506e-04
71,  2.3753437642941479e-04
72,  2.3309576758160277e-04
73,  2.2891602998617166e-04
74,  2.2481701784042072e-04
75,  2.2094733286283984e-04
76,  2.1722666409683167e-04
77,  2.1361864049720334e-04
78,  2.1021914597075844e-04
79,  2.0689499727212428e-04
80,  2.0376653161885628e-04
81,  2.0072393990290253e-04
82,  1.9782356706197436e-04
83,  1.9504281639298404e-04
84,  1.9241283567892728e-04
85,  1.8985015115324216e-04
86,  1.8734269196943093e-04
87,  1.8488869158628444e-04
88,  1.8248645331249341e-04
89,  1.8013434708899246e-04
90,  1.7783080645852685e-04
91,  1.7557432570724385e-04
92,  1.7336345716463902e-04
93,  1.7119680864974927e-04
94,  1.6907304105257001e-04
95,  1.6699086604096255e-04
96,  1.6494904388412331e-04
97,  1.6294638138465007e-04
98,  1.6098172991201327e-04
99,  1.5905398353087722e-04
100,  1.5716207721829932e-04
101,  1.5530498516448310e-04
102,  1.5348171915202351e-04
103,  1.5169132700923929e-04
104,  1.4993289113340971e-04
105,  1.4820552708001152e-04
106,  1.4650838221459277e-04
107,  1.4484063442389092e-04
108,  1.4320149088320073e-04
109,  1.4159018687724572e-04
110,  1.4000598467182640e-04
111,  1.3844817243388930e-04
112,  1.3691606319763910e-04
113,  1.3540899387460377e-04
114,  1.3392632430558237e-04
115,  1.3246743635260394e-04
116,  1.3103173302901771e-04
117,  1.2961863766612397e-04
118,  1.2822759311462153e-04
119,  1.2685806097940643e-04
120,  1.2550952088621927e-04
121,  1.2418146977882436e-04
122,  1.2287342124532905e-04
123,  1.2158490487245049e-04
124,  1.2031546562645600e-04
125,  1.1906466325980661e-04
126,  1.1783207174214293e-04
127,  1.1661727871488267e-04
128,  1.1541988496817539e-04
129,  1.1423950393944428e-04
130,  1.1307576123248301e-04
131,  1.1192829415637285e-04
132,  1.1079675128320923e-04
133,  1.0968079202404233e-04
134,  1.0858008622210531e-04
135,  1.0749431376269699e-04
136,  1.0642316419898711e-04
137,  1.0536633639307641e-04
138,  1.0432353817167772e-04
139,  1.0329448599579616e-04
140,  1.0227890464382766e-04
141,  1.0127652690750294e-04
142,  1.0028709330019013e-04
143,  9.9310351776895343e-05
144,  9.8346057465689322e-05
145,  9.7393972409840672e-05
146,  9.6453865320408799e-05
147,  9.5525511338746455e-05
148,  9.4608691808499497e-05
149,  9.3703194056749735e-05
150,  9.2808811183914619e-05
151,  9.1925341861966969e-05
152,  9.1052590140727405e-05
153,  9.0190365261791301e-05
154,  8.9338481479866587e-05
155,  8.8496757891140580e-05
156,  8.7665018268390661e-05
157,  8.6843090902601142e-05
158,  8.6030808450765088e-05
159,  8.5228007789640086e-05
160,  8.4434529875190706e-05
161,  8.3650219607507770e-05
162,  8.2874925700935183e-05
163,  8.2108500559242229e-05
164,  8.1350800155557086e-05
165,  8.0601683916953923e-05
166,  7.9861014613429892e-05
167,  7.9128658251095631e-05
168,  7.8404483969454183e-05
169,  7.7688363942552885e-05
170,  7.6980173283866109e-05
171,  7.6279789954747848e-05
172,  7.5587094676288666e-05
173,  7.4901970844524652e-05
174,  7.4224304448706628e-05
175,  7.3553983992680040e-05
176,  7.2890900419073410e-05
177,  7.2234947036357240e-05
178,  7.1586019448496702e-05
179,  7.0944015487200854e-05
180,  7.0308835146603381e-05
181,  6.9680380520311099e-05
182,  6.9058555740734968e-05
183,  6.8443266920507109e-05
184,  6.7834422096101643e-05
185,  6.7231931173334234e-05
186,  6.6635705874857902e-05
187,  6.6045659689472640e-05
188,  6.5461707823182054e-05
189,  6.4883767151998321e-05
190,  6.4311756176329115e-05
191,  6.3745594976950012e-05
192,  6.3185205172475593e-05
193,  6.2630509878311205e-05
194,  6.2081433666909204e-05
195,  6.1537902529453303e-05
196,  6.0999843838768836e-05
197,  6.0467186313492922e-05
198,  5.9939859983388101e-05
199,  5.9417796155857492e-05
200,  5.8900927383513396e-05
201,  5.8389187432799261e-05
202,  5.7882511253655133e-05
203,  5.7380834950107463e-05
204,  5.6884095751870916e-05
205,  5.6392231986773390e-05
206,  5.5905183054103126e-05
207,  5.5422889398779084e-05
208,  5.4945292486324328e-05
209,  5.4472334778584259e-05
210,  5.4003959710288973e-05
211,  5.3540111666191145e-05
212,  5.3080735959036674e-05
213,  5.2625778808093000e-05
214,  5.2175187318403784e-05
215,  5.1728909460601436e-05
216,  5.1286894051368505e-05
217,  5.0849090734435414e-05
218,  5.0415449962148505e-05
219,  4.9985922977590457e-05
220,  4.9560461797190270e-05
221,  4.9139019193860489e-05
222,  4.8721548680567895e-05
223,  4.8308004494452315e-05
224,  4.7898341581308792e-05
225,  4.7492515580547709e-05
226,  4.7090482810555951e-05
227,  4.6692200254500082e-05
228,  4.6297625546438983e-05
229,  4.5906716957928584e-05
230,  4.5519433384879073e-05
231,  4.5135734334823811e-05
232,  4.4755579914535881e-05
233,  4.4378930817942846e-05
234,  4.4005748314368522e-05
235,  4.3635994237099942e-05
236,  4.3269630972246289e-05
237,  4.2906621447851301e-05
238,  4.2546929123358596e-05
239,  4.2190517979258133e-05
240,  4.1837352507081772e-05
241,  4.1487397699581943e-05
242,  4.1140619041181064e-05
243,  4.0796982498689624e-05
244,  4.0456454512215665e-05
245,  4.0119001986277408e-05
246,  3.9784592281215382e-05
