itr,res
2,  3.0042864541369833e-03
3,  2.5447073276582701e-03
4,  2.2352997042210969e-03
5,  2.0064857601869560e-03
6,  1.8327495784455467e-03
7,  1.7008232453500324e-03
8,  1.5835906263819283e-03
9,  1.4906082030107354e-03
10,  1.4077901905296733e-03
11,  1.3334923779286080e-03
12,  1.2717377427330096e-03
13,  1.2124106441750708e-03
14,  1.1596415337142205e-03
15,  1.1137512849214457e-03
16,  1.0694300811067386e-03
17,  1.0270755819426582e-03
18,  9.9186923983510299e-04
19,  9.5788277156178393e-04
20,  9.2486612179535743e-04
21,  8.9343142742502417e-04
22,  8.6644526998497240e-04
23,  8.4018599074651816e-04
24,  8.1460501266354798e-04
25,  7.8967269547223649e-04
26,  7.6715295819590392e-04
27,  7.4632757472548907e-04
28,  7.2599740796575822e-04
29,  7.0614323834857471e-04
30,  6.8675181329223118e-04
31,  6.6859897895970135e-04
32,  6.5210631131997279e-04
33,  6.3597233603900820e-04
34,  6.2018640513317928e-04
35,  6.0474032016311844e-04
36,  5.8962762008694459e-04
37,  5.7545810059694055e-04
38,  5.6239975757224571e-04
39,  5.4960282799482846e-04
40,  5.3706147518960796e-04
41,  5.2477078384489679e-04
42,  5.1272651337682914e-04
43,  5.0092490379786102e-04
44,  4.9007635907862728e-04
45,  4.7973772281249859e-04
46,  4.6959168465683583e-04
47,  4.5963482102121992e-04
48,  4.4986404218159569e-04
49,  4.4027650996001684e-04
50,  4.3086957186846731e-04
51,  4.2179702087976386e-04
52,  4.1347154521921293e-04
53,  4.0529173408349105e-04
54,  3.9725525367584634e-04
55,  3.8935992881699379e-04
56,  3.8160370979350869e-04
57,  3.7398464521915008e-04
58,  3.6650085996018186e-04
59,  3.5917946033972548e-04
60,  3.5249999759281119e-04
61,  3.4593130375147033e-04
62,  3.3947179624454988e-04
63,  3.3311996878262638e-04
64,  3.2687437785593095e-04
65,  3.2073363138844919e-04
66,  3.1469637923902674e-04
67,  3.0876130528181887e-04
68,  3.0309886729760073e-04
69,  2.9776597173733016e-04
70,  2.9251797171000836e-04
71,  2.8735379095397057e-04
72,  2.8227238873400589e-04
73,  2.7727275407367688e-04
74,  2.7235390080504907e-04
75,  2.6751486333425559e-04
76,  2.6275469303336629e-04
77,  2.5825241089283440e-04
78,  2.5395677116831378e-04
79,  2.4972752491219063e-04
80,  2.4556389686003943e-04
81,  2.4146512891253135e-04
82,  2.3743047734932609e-04
83,  2.3345921041851875e-04
84,  2.2955060626041581e-04
85,  2.2570395112874445e-04
86,  2.2211397232002982e-04
87,  2.1863334369721598e-04
88,  2.1520539630606365e-04
89,  2.1182953705314354e-04
90,  2.0850518113395809e-04
91,  2.0523175066496460e-04
92,  2.0200867350452463e-04
93,  1.9883538224330658e-04
94,  1.9577198021575535e-04
95,  1.9289734531577381e-04
96,  1.9006534726196740e-04
97,  1.8727550328476473e-04
98,  1.8452733573001305e-04
99,  1.8182037129700900e-04
100,  1.7915414038450816e-04
101,  1.7652817653390250e-04
102,  1.7399279284285263e-04
103,  1.7161169999245482e-04
104,  1.6927017328440325e-04
105,  1.6696190775958257e-04
106,  1.6468652594872616e-04
107,  1.6244365418174557e-04
108,  1.6023292214289327e-04
109,  1.5805396248601115e-04
110,  1.5603447632337998e-04
111,  1.5405394588988063e-04
112,  1.5210081034108377e-04
113,  1.5017475101988139e-04
114,  1.4827545245248188e-04
115,  1.4640260205686699e-04
116,  1.4458620221088374e-04
117,  1.4288731589405320e-04
118,  1.4121200609399102e-04
119,  1.3955997195839965e-04
120,  1.3793091599523401e-04
121,  1.3632454388416254e-04
122,  1.3477167139566739e-04
123,  1.3330773338355933e-04
124,  1.3186355345824066e-04
125,  1.3043886661784945e-04
126,  1.2903341137039686e-04
127,  1.2766459517746004e-04
128,  1.2637963056667058e-04
129,  1.2511152470828685e-04
130,  1.2386003936961404e-04
131,  1.2262555723489377e-04
132,  1.2147636870469090e-04
133,  1.2034188283046159e-04
134,  1.1924383727381505e-04
135,  1.1821242554579000e-04
136,  1.1720375634878689e-04
137,  1.1628168932225315e-04
138,  1.1538178645284665e-04
139,  1.1449352780691664e-04
140,  1.1361668768835585e-04
141,  1.1275104611922837e-04
142,  1.1189638865885789e-04
143,  1.1105250622995328e-04
144,  1.1021919495147434e-04
145,  1.0939625597792314e-04
146,  1.0858349534477280e-04
147,  1.0778072381971584e-04
148,  1.0698775675953822e-04
149,  1.0620441397227707e-04
150,  1.0543051958451555e-04
151,  1.0466590191348440e-04
152,  1.0391039334388104e-04
153,  1.0316383020907902e-04
154,  1.0242605267661726e-04
155,  1.0169690463774758e-04
156,  1.0097623360088060e-04
157,  1.0026389058875315e-04
158,  9.9559730039176016e-05
159,  9.8863609709178374e-05
160,  9.8175390582457803e-05
161,  9.7494936779958630e-05
162,  9.6822115473449151e-05
163,  9.6156796802015148e-05
164,  9.5498853791301763e-05
165,  9.4848162275420597e-05
166,  9.4204600821431745e-05
167,  9.3568050656265216e-05
168,  9.2938395595959565e-05
169,  9.2315521977265731e-05
170,  9.1699318591316513e-05
171,  9.1089676619452261e-05
172,  9.0486489571060694e-05
173,  8.9889653223322634e-05
174,  8.9299065562867703e-05
175,  8.8714626729155028e-05
176,  8.8136238959664201e-05
177,  8.7563806536695396e-05
178,  8.6997235735793307e-05
179,  8.6436434775702647e-05
180,  8.5881313769851152e-05
181,  8.5331784679225771e-05
182,  8.4787761266649328e-05
183,  8.4249159052401769e-05
184,  8.3715895271145759e-05
185,  8.3187888830056161e-05
186,  8.2665060268192396e-05
187,  8.2147331717009124e-05
188,  8.1634626861995578e-05
189,  8.1126870905416179e-05
