itr,res
122,  5.5707994094152801e-05
123,  5.4332118156758934e-05
124,  5.2989743503441672e-05
125,  5.1680086635834838e-05
126,  5.0402380191003601e-05
127,  4.9155872763004133e-05
128,  4.7939828714184376e-05
129,  4.6753527977573294e-05
130,  4.5596265851339818e-05
131,  4.4467352786461976e-05
132,  4.3366114168350498e-05
133,  4.2291890093587471e-05
134,  4.1244035142311912e-05
135,  4.0221918147110112e-05
136,  3.9224921959161965e-05
137,  3.8252443212114429e-05
138,  3.7303892084401282e-05
139,  3.6378692060532311e-05
140,  3.5476279691643676e-05
141,  3.4596104356075809e-05
142,  3.3737628020134743e-05
143,  3.2900324999451301e-05
144,  3.2083681721351446e-05
145,  3.1287196488500689e-05
146,  3.0510379244111000e-05
147,  2.9752751338850916e-05
148,  2.9013845299925649e-05
149,  2.8293204602225348e-05
150,  2.7590383441967656e-05
151,  2.6904946512891009e-05
152,  2.6236468785112756e-05
153,  2.5584535286812848e-05
154,  2.4948740888902287e-05
155,  2.4328690092600880e-05
156,  2.3723996820312891e-05
157,  2.3134284209435228e-05
158,  2.2559184409594866e-05
159,  2.1998338383063870e-05
160,  2.1451395708485058e-05
161,  2.0918014388019729e-05
162,  2.0397860657703737e-05
163,  1.9890608801348290e-05
164,  1.9395940967690041e-05
165,  1.8913546991017639e-05
166,  1.8443124215050964e-05
167,  1.7984377320305344e-05
168,  1.7537018154724599e-05
169,  1.7100765567642028e-05
170,  1.6675345247143369e-05
171,  1.6260489560515363e-05
172,  1.5855937398132437e-05
173,  1.5461434020436039e-05
174,  1.5076730908145048e-05
175,  1.4701585615604221e-05
176,  1.4335761627204503e-05
177,  1.3979028216892447e-05
178,  1.3631160310707426e-05
179,  1.3291938352262366e-05
180,  1.2961148171179148e-05
181,  1.2638580854415676e-05
182,  1.2324032620423304e-05
183,  1.2017304696089767e-05
184,  1.1718203196465920e-05
185,  1.1426539007117855e-05
186,  1.1142127669283133e-05
187,  1.0864789267382201e-05
188,  1.0594348319392341e-05
189,  1.0330633669460441e-05
190,  1.0073478383169407e-05
191,  9.8227196450439297e-06
192,  9.5781986586712635e-06
193,  9.3397605488470333e-06
194,  9.1072542662570982e-06
195,  8.8805324941775460e-06
196,  8.6594515575224459e-06
197,  8.4438713339568049e-06
198,  8.2336551670567581e-06
199,  8.0286697816287596e-06
200,  7.8287852009254081e-06
201,  7.6338746658990058e-06
202,  7.4438145563515463e-06
203,  7.2584843139417984e-06
204,  7.0777663670519425e-06
205,  6.9015460574731124e-06
206,  6.7297115687680553e-06
207,  6.5621538564783194e-06
208,  6.3987665798612847e-06
209,  6.2394460354447551e-06
210,  6.0840910919410094e-06
211,  5.9326031270191020e-06
212,  5.7848859654015115e-06
213,  5.6408458185211110e-06
214,  5.5003912256498552e-06
215,  5.3634329964548677e-06
216,  5.2298841549253399e-06
217,  5.0996598847156491e-06
218,  4.9726774757292128e-06
219,  4.8488562721698852e-06
220,  4.7281176215914221e-06
221,  4.6103848254976126e-06
222,  4.4955830909048159e-06
223,  4.3836394832987867e-06
224,  4.2744828804966527e-06
225,  4.1680439278601564e-06
226,  4.0642549945013175e-06
227,  3.9630501305968316e-06
228,  3.8643650257309508e-06
229,  3.7681369682265303e-06
230,  3.6743048055852367e-06
231,  3.5828089057588791e-06
232,  3.4935911195262399e-06
233,  3.4065947436258479e-06
234,  3.3217644849902925e-06
235,  3.2390464256419980e-06
236,  3.1583879886805246e-06
237,  3.0797379049245392e-06
238,  3.0030461804864384e-06
239,  2.9282640650857549e-06
240,  2.8553440212309468e-06
241,  2.7842396940186544e-06
242,  2.7149058818321206e-06
243,  2.6472985076753341e-06
244,  2.5813745912008156e-06
245,  2.5170922215453449e-06
246,  2.4544105306563781e-06
247,  2.3932896674854383e-06
248,  2.3336907726319219e-06
249,  2.2755759537031743e-06
250,  2.2189082613684274e-06
251,  2.1636516657982011e-06
252,  2.1097710338780305e-06
253,  2.0572321069147966e-06
254,  2.0060014788426521e-06
255,  1.9560465750793175e-06
256,  1.9073356318224848e-06
257,  1.8598376759022035e-06
258,  1.8135225050970027e-06
259,  1.7683606689870673e-06
260,  1.7243234502432586e-06
261,  1.6813828463365721e-06
262,  1.6395115519108399e-06
263,  1.5986829412654331e-06
264,  1.5588710515076228e-06
265,  1.5200505661387718e-06
266,  1.4821967988880141e-06
267,  1.4452856780111367e-06
268,  1.4092937311143114e-06
269,  1.3741980701089012e-06
270,  1.3399763767736532e-06
271,  1.3066068885113715e-06
272,  1.2740683845560779e-06
273,  1.2423401724434673e-06
274,  1.2114020749669640e-06
275,  1.1812344172196077e-06
276,  1.1518180141795988e-06
277,  1.1231341585022000e-06
278,  1.0951646086152253e-06
279,  1.0678915771331214e-06
280,  1.0412977195549309e-06
281,  1.0153661232613148e-06
282,  9.9008029671042024e-07
